MOLECULE_DESC,MAT FEB'24,MAT FEB'26,QTY MAT FEB'26,CAGR,Market Share
AZILSARTAN MEDOXOMIL + CILNIDIPINE,1.9,1.5,1139,-0.1114766833613614,6.45755663277167e-05
AZILSARTAN MEDOXOMIL POTASSIUM SALT + CHLORTALIDONE,0.0,0.0,4,0.0,0.0
BEMPEDOIC ACID,11.0,12.9,6970,0.08292533109502642,0.0005553498704183636
BEMPEDOIC ACID + EZETIMIBE,5.8,25.7,11242,1.105002252435522,0.001106394703081546
BEMPEDOIC ACID + ROSUVASTATIN CALCIUM SALT,7.3,18.400000000000002,5606,0.5876233637753885,0.0007921269469533249
BENAZEPRIL HYDROCHLORIDE,0.0,0.0,0,0.0,0.0
BENIDIPINE HYDROCHLORIDE,40.4,35.5,44221,-0.06260314098716513,0.0015282884030892953
BENIDIPINE HYDROCHLORIDE + CHLORTALIDONE,1.9999999999999998,1.7,1486,-0.07804555427071125,7.318564183807893e-05
BENIDIPINE HYDROCHLORIDE + CHLORTALIDONE + TELMISARTAN,3.5,3.5,2674,0.0,0.00015067632143133896
BENIDIPINE HYDROCHLORIDE + METOPROLOL SUCCINATE,5.0,3.5999999999999996,3107,-0.15147186257614298,0.00015498135918652007
BENIDIPINE HYDROCHLORIDE + METOPROLOL TARTRATE,0.4,1.0,706,0.5811388300841898,4.3050377551811134e-05
BENIDIPINE HYDROCHLORIDE + NEBIVOLOL HYDROCHLORIDE,0.0,0.3,201,0.0,1.291511326554334e-05
BENIDIPINE HYDROCHLORIDE + TELMISARTAN,8.799999999999999,9.6,8589,0.044465935734187,0.0004132836244973869
BENZTHIAZIDE + TRIAMTERENE,0.0,0.0,0,0.0,0.0
BISOPROLOL + TELMISARTAN,0.0,0.1,129,0.0,4.3050377551811136e-06
BISOPROLOL FUMARATE + HYDROCHLOROTHIAZIDE,27.6,34.5,36301,0.1180339887498949,0.001485238025537484
BISOPROLOL FUMARATE + PERINDOPRIL,0.0,3.2,1777,0.0,0.00013776120816579563
BISOPROLOL FUMARATE + TELMISARTAN,37.300000000000004,138.3,134888,0.92555830836867,0.00595386721541548
CANDESARTAN CILEXETIL,0.0,0.0,0,0.0,0.0
CARVEDILOL + IVABRADINE HYDROBROMIDE,0.4,0.0,18,-1.0,0.0
CARVEDILOL + IVABRADINE HYDROCHLORIDE,1.4,0.30000000000000004,299,-0.5370899501137243,1.2915113265543342e-05
